#GENOME	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
07CEB234STA	07CEB234STA_1	220810	221786	hlgB	1-978/978	========/======	1/1	99.90	99.28	vfdb	NP_647161	(hlgB) gamma-hemolysin component B [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	221788	222735	hlgC	1-948/948	===============	0/0	100.00	99.26	vfdb	NP_647160	(hlgC) gamma-hemolysin component C [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	223303	224232	hlgA	1-930/930	===============	0/0	100.00	99.36	vfdb	NP_647159	(hlgA) gamma-hemolysin chain II precursor [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	224767	226077	sbi	1-1314/1314	========/======	1/3	99.77	97.26	vfdb	NP_647158	(sbi) IgG-binding protein SBI [Sbi (VF0423)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	427625	430036	hysA	1-2418/2448	========/======	9/16	98.33	91.50	vfdb	NP_646946	(hysA) hyaluronate lyase precursor [Hyaluronate lyase (VF0013)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	609770	609904	hld	1-135/135	===============	0/0	100.00	99.26	vfdb	NP_646776	(hld) delta-hemolysin [<delta>-hemolysin (VF0007)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	626310	627302	hlb	1-993/993	===============	0/0	100.00	99.30	vfdb	YP_186826	(hlb) beta-hemolysin [<beta>-hemolysin (VF0002)] [Staphylococcus aureus subsp. aureus COL]
07CEB234STA	07CEB234STA_1	627691	629118	map	1-1428/1755	========/====..	4/4	81.25	93.08	vfdb	CAB94853	(map) extracellular proteins Map [Eap/Map (VF0016)] [Staphylococcus aureus str. Newman D2C (ATCC 25904)]
07CEB234STA	07CEB234STA_1	1142360	1143811	ebp	1-1461/1461	========/======	1/9	99.38	97.60	vfdb	NP_646186	(ebp) cell surface elastin binding protein [EbpS (VF0008)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	1521279	1522238	hly/hla	1-960/960	===============	0/0	100.00	99.48	vfdb	NP_645861	(hly/hla) Alpha-Hemolysin precursor [<alpha>-hemolysin (VF0001)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	1548298	1548621	isdG	1-324/324	===============	0/0	100.00	99.07	vfdb	YP_001332081	(isdG) iron-regulated surface determinant protein G [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
07CEB234STA	07CEB234STA_1	1548640	1549374	srtB	1-735/735	===============	0/0	100.00	99.05	vfdb	NP_645834	(srtB) NPQTN specific sortase B [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]
07CEB234STA	07CEB234STA_1	1549436	1550401	isdF	1-966/966	===============	0/0	100.00	98.55	vfdb	NP_645833	(isdF) iron-regulated surface determinant protein F ATP-binding-cassette-type transmembrane transporter [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]
