#GENOME	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
11CEB273STA	11CEB273STA_1	1385	3703	adsA	1-2319/2319	===============	0/0	100.00	96.72	vfdb	NP_644838	(adsA) Adenosine synthase A [AdsA (VF0422)] [Staphylococcus aureus subsp. aureus MW2]
11CEB273STA	11CEB273STA_1	74980	77025	lip	1-2046/2046	===============	0/0	100.00	100.00	vfdb	NP_647407	(lip) triacylglycerol lipase precursor [Lipase (CVF091)] [Staphylococcus aureus subsp. aureus MW2]
11CEB273STA	11CEB273STA_1	77472	78524	icaC	1-1053/1053	===============	0/0	100.00	100.00	vfdb	NP_647406	(icaC) intercellular adhesion protein C involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
11CEB273STA	11CEB273STA_1	78511	79383	icaB	1-873/873	===============	0/0	100.00	100.00	vfdb	NP_647405	(icaB) N-deacetylase involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
11CEB273STA	11CEB273STA_1	79380	79685	icaD	1-306/306	===============	0/0	100.00	100.00	vfdb	NP_647404	(icaD) intercellular adhesion protein D involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
11CEB273STA	11CEB273STA_1	79649	80887	icaA	1-1239/1239	===============	0/0	100.00	99.92	vfdb	NP_647403	(icaA) N-acetylglucosaminyltransferase involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
11CEB273STA	11CEB273STA_1	81051	81611	icaR	1-561/561	===============	0/0	100.00	100.00	vfdb	NP_647402	(icaR) ica operon transcriptional regulator IcaR [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
11CEB273STA	11CEB273STA_1	121660	123189	aur	1-1530/1530	===============	0/0	100.00	99.61	vfdb	NP_647375	(aur) zinc metalloproteinase aureolysin [Aureolysin (VF0024)] [Staphylococcus aureus subsp. aureus MW2]
11CEB273STA	11CEB273STA_1	412421	413398	hlgB	1-978/978	===============	0/0	100.00	99.90	vfdb	NP_647161	(hlgB) gamma-hemolysin component B [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
11CEB273STA	11CEB273STA_1	413400	414347	hlgC	1-948/948	===============	0/0	100.00	99.47	vfdb	NP_647160	(hlgC) gamma-hemolysin component C [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
11CEB273STA	11CEB273STA_1	414915	415844	hlgA	1-930/930	===============	0/0	100.00	99.46	vfdb	NP_647159	(hlgA) gamma-hemolysin chain II precursor [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
11CEB273STA	11CEB273STA_1	416380	417690	sbi	1-1314/1314	========/======	1/3	99.77	97.87	vfdb	NP_647158	(sbi) IgG-binding protein SBI [Sbi (VF0423)] [Staphylococcus aureus subsp. aureus MW2]
11CEB273STA	11CEB273STA_1	617239	619653	hysA	1-2418/2448	========/======	5/9	98.53	90.58	vfdb	NP_646946	(hysA) hyaluronate lyase precursor [Hyaluronate lyase (VF0013)] [Staphylococcus aureus subsp. aureus MW2]
11CEB273STA	11CEB273STA_1	797977	798111	hld	1-135/135	===============	0/0	100.00	99.26	vfdb	NP_646776	(hld) delta-hemolysin [<delta>-hemolysin (VF0007)] [Staphylococcus aureus subsp. aureus MW2]
11CEB273STA	11CEB273STA_1	816081	817073	hlb	1-993/993	===============	0/0	100.00	100.00	vfdb	YP_186826	(hlb) beta-hemolysin [<beta>-hemolysin (VF0002)] [Staphylococcus aureus subsp. aureus COL]
