#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
09CEB204STA	09CEB204STA_16	1015	1780	sea	7-772/774	===============	0/0	98.97	90.21	vfdb2	NP_646706	(sea) staphylococcal enterotoxin A precursor [SE (VF0020)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	52063	54381	adsA	1-2319/2319	===============	0/0	100.00	96.59	vfdb2	NP_644838	(adsA) Adenosine synthase A [AdsA (VF0422)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	93385	94812	spa	1-1479/1479	========/======	2/51	96.55	95.20	vfdb2	NP_644899	(spa) Immunoglobulin G binding protein A precursor [SpA (VF0017)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	138194	138710	cap8A	1-516/516	========/======	1/1	100.00	98.45	vfdb2	NP_644939	(cap8A) capsular polysaccharide synthesis enzyme  [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	138878	139564	cap8B	1-687/687	===============	0/0	100.00	96.36	vfdb2	NP_644940	(cap8B) capsular polysaccharide synthesis enzyme Cap8B [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	139567	140331	cap8C	1-765/765	===============	0/0	100.00	99.74	vfdb2	NP_644941	(cap8C) capsular polysaccharide synthesis enzyme Cap8C [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	140351	142174	cap8D	1-1824/1824	===============	0/0	100.00	99.23	vfdb2	NP_644942	(cap8D) capsular polysaccharide synthesis enzyme Cap8D [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	142164	143192	cap8E	1-1029/1029	===============	0/0	100.00	98.83	vfdb2	NP_644943	(cap8E) capsular polysaccharide synthesis enzyme Cap8E [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	143205	144314	cap8F	1-1110/1110	===============	0/0	100.00	97.84	vfdb2	NP_644944	(cap8F) capsular polysaccharide synthesis enzyme Cap8F [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	144318	145442	cap8G	1-1125/1125	===============	0/0	100.00	99.11	vfdb2	NP_644945	(cap8G) capsular polysaccharide synthesis enzyme Cap8G [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	149564	150769	cap8L	1-1206/1206	===============	0/0	100.00	98.26	vfdb2	NP_644950	(cap8L) capsular polysaccharide synthesis enzyme Cap8L [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	150780	151337	cap8M	1-558/558	===============	0/0	100.00	98.75	vfdb2	NP_644951	(cap8M) capsular polysaccharide synthesis enzyme Cap8M [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	151337	152224	cap8N	1-888/888	===============	0/0	100.00	98.31	vfdb2	NP_644952	(cap8N) capsular polysaccharide synthesis enzyme Cap8N [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	152278	153540	cap8O	1-1263/1263	===============	0/0	100.00	99.21	vfdb2	NP_644953	(cap8O) capsular polysaccharide synthesis enzyme Cap8O [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	153617	154762	cap8P	1-1146/1146	===============	0/0	100.00	99.30	vfdb2	NP_644954	(cap8P) capsular polysaccharide synthesis enzyme Cap8P [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	800448	801971	vWbp	1-1527/1527	========/======	19/53	98.17	82.41	vfdb2	YP_001331791	(vWbp) secreted von Willebrand factor-binding protein precursor [vWbp (VF0420)] [Staphylococcus aureus subsp. aureus str. Newman]
09CEB204STA	09CEB204STA_4	987015	987344	sspC	1-330/330	===============	0/0	100.00	99.70	vfdb2	NP_645747	(sspC) Staphostatin B [Staphopain (VF0006)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	987382	988563	sspB	1-1182/1182	===============	0/0	100.00	99.24	vfdb2	NP_645748	(sspB) staphopain cysteine proteinase SspB [Staphopain (VF0006)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	988645	989610	sspA	1-984/984	========/======	2/18	98.17	94.41	vfdb2	NP_645749	(sspA) serine protease; V8 protease; glutamyl endopeptidase [V8 protease (VF0023)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	1071071	1072996	isdB	1-1938/1938	========/======	2/12	99.38	96.13	vfdb2	YP_001332074	(isdB) iron-regulated surface determinant protein B haemoglobin receptor [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
09CEB204STA	09CEB204STA_4	1073199	1074263	isdA	1-1053/1053	========/======	1/12	100.00	95.68	vfdb2	YP_001332075	(isdA) iron-regulated surface determinant protein A [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
09CEB204STA	09CEB204STA_4	1074472	1075155	isdC	1-684/684	===============	0/0	100.00	98.54	vfdb2	YP_001332076	(isdC) iron-regulated surface determinant protein C [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
09CEB204STA	09CEB204STA_4	1075155	1076231	isdD	1-1077/1077	===============	0/0	100.00	99.07	vfdb2	NP_645831	(isdD) iron-regulated surface determinant protein D [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	1076228	1077106	isdE	1-879/879	===============	0/0	100.00	100.00	vfdb2	YP_001332078	(isdE) iron-regulated surface determinant protein E [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
09CEB204STA	09CEB204STA_4	1077119	1078084	isdF	1-966/966	===============	0/0	100.00	98.86	vfdb2	NP_645833	(isdF) iron-regulated surface determinant protein F ATP-binding-cassette-type transmembrane transporter [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	1078146	1078880	srtB	1-735/735	===============	0/0	100.00	99.18	vfdb2	NP_645834	(srtB) NPQTN specific sortase B [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	1078899	1079222	isdG	1-324/324	===============	0/0	100.00	98.46	vfdb2	YP_001332081	(isdG) iron-regulated surface determinant protein G [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
09CEB204STA	09CEB204STA_4	1105566	1106525	hly/hla	1-960/960	===============	0/0	100.00	99.27	vfdb2	NP_645861	(hly/hla) Alpha-Hemolysin precursor [<alpha>-hemolysin (VF0001)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	1475090	1476553	ebp	1-1461/1461	========/======	1/3	100.00	97.20	vfdb2	NP_646186	(ebp) cell surface elastin binding protein [EbpS (VF0008)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	1795503	1797908	hysA	1-2418/2448	========/======	11/24	98.04	81.85	vfdb2	NP_646946	(hysA) hyaluronate lyase precursor [Hyaluronate lyase (VF0013)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	1819068	1820036	lukF-PV	1-969/978	========/======	2/2	98.98	81.65	vfdb2	NP_646195	(lukF-PV) Panton-Valentine leukocidin chain F precursor [PVL (VF0018)] [Staphylococcus aureus subsp. aureus MW2]
09CEB204STA	09CEB204STA_4	1928946	1929938	hlb	1-993/993	===============	0/0	100.00	99.30	vfdb2	YP_186826	(hlb) beta-hemolysin [<beta>-hemolysin (VF0002)] [Staphylococcus aureus subsp. aureus COL]
09CEB204STA	09CEB204STA_4	1961541	1961676	hld	1-135/135	========/======	1/1	100.00	98.53	vfdb2	NP_646776	(hld) delta-hemolysin [<delta>-hemolysin (VF0007)] [Staphylococcus aureus subsp. aureus MW2]
