#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
07CEB89STA	07CEB89STA_7	20290	22335	lip	1-2046/2046	===============	0/0	100.00	99.95	vfdb2	NP_647407	(lip) triacylglycerol lipase precursor [Lipase (CVF091)] [Staphylococcus aureus subsp. aureus MW2]
07CEB89STA	07CEB89STA_7	22586	23638	icaC	1-1053/1053	===============	0/0	100.00	99.33	vfdb2	NP_647406	(icaC) intercellular adhesion protein C involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
07CEB89STA	07CEB89STA_7	23625	24497	icaB	1-873/873	===============	0/0	100.00	99.89	vfdb2	NP_647405	(icaB) N-deacetylase involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
07CEB89STA	07CEB89STA_7	24494	24799	icaD	1-306/306	===============	0/0	100.00	99.67	vfdb2	NP_647404	(icaD) intercellular adhesion protein D involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
07CEB89STA	07CEB89STA_7	24763	26001	icaA	1-1239/1239	===============	0/0	100.00	99.84	vfdb2	NP_647403	(icaA) N-acetylglucosaminyltransferase involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
07CEB89STA	07CEB89STA_7	26165	26725	icaR	1-561/561	===============	0/0	100.00	99.82	vfdb2	NP_647402	(icaR) ica operon transcriptional regulator IcaR [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
07CEB89STA	07CEB89STA_7	66968	68497	aur	1-1530/1530	===============	0/0	100.00	99.48	vfdb2	NP_647375	(aur) zinc metalloproteinase aureolysin [Aureolysin (VF0024)] [Staphylococcus aureus subsp. aureus MW2]
07CEB89STA	07CEB89STA_7	216441	219446	fnbA	1-3048/3048	========/======	5/50	98.49	88.04	vfdb2	NP_647238	(fnbA) fibronectin-binding protein A [FnBPs (VF0010)] [Staphylococcus aureus subsp. aureus MW2]
07CEB89STA	07CEB89STA_7	220127	222916	fnbB	1-2832/2832	========/======	20/82	97.81	85.87	vfdb2	NP_647237	(fnbB) fibronectin-binding protein B [FnBPs (VF0010)] [Staphylococcus aureus subsp. aureus MW2]
07CEB89STA	07CEB89STA_7	307845	308822	hlgB	1-978/978	===============	0/0	100.00	99.80	vfdb2	NP_647161	(hlgB) gamma-hemolysin component B [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
