#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
09CEB319STA	09CEB319STA_2	44380	44896	cap8A	1-516/516	========/======	1/1	100.00	98.65	vfdb	NP_644939	(cap8A) capsular polysaccharide synthesis enzyme  [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB319STA	09CEB319STA_2	45064	45750	cap8B	1-687/687	===============	0/0	100.00	96.36	vfdb	NP_644940	(cap8B) capsular polysaccharide synthesis enzyme Cap8B [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB319STA	09CEB319STA_2	45753	46517	cap8C	1-765/765	===============	0/0	100.00	99.74	vfdb	NP_644941	(cap8C) capsular polysaccharide synthesis enzyme Cap8C [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB319STA	09CEB319STA_2	46537	48360	cap8D	1-1824/1824	===============	0/0	100.00	99.23	vfdb	NP_644942	(cap8D) capsular polysaccharide synthesis enzyme Cap8D [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB319STA	09CEB319STA_2	48350	49378	cap8E	1-1029/1029	===============	0/0	100.00	98.83	vfdb	NP_644943	(cap8E) capsular polysaccharide synthesis enzyme Cap8E [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB319STA	09CEB319STA_2	49391	50500	cap8F	1-1110/1110	===============	0/0	100.00	97.84	vfdb	NP_644944	(cap8F) capsular polysaccharide synthesis enzyme Cap8F [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB319STA	09CEB319STA_2	50504	51628	cap8G	1-1125/1125	===============	0/0	100.00	99.20	vfdb	NP_644945	(cap8G) capsular polysaccharide synthesis enzyme Cap8G [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB319STA	09CEB319STA_2	55750	56955	cap8L	1-1206/1206	===============	0/0	100.00	98.18	vfdb	NP_644950	(cap8L) capsular polysaccharide synthesis enzyme Cap8L [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB319STA	09CEB319STA_2	56966	57523	cap8M	1-558/558	===============	0/0	100.00	98.75	vfdb	NP_644951	(cap8M) capsular polysaccharide synthesis enzyme Cap8M [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB319STA	09CEB319STA_2	57523	58410	cap8N	1-888/888	===============	0/0	100.00	98.42	vfdb	NP_644952	(cap8N) capsular polysaccharide synthesis enzyme Cap8N [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB319STA	09CEB319STA_2	58464	59726	cap8O	1-1263/1263	===============	0/0	100.00	99.21	vfdb	NP_644953	(cap8O) capsular polysaccharide synthesis enzyme Cap8O [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
09CEB319STA	09CEB319STA_2	59803	60948	cap8P	1-1146/1146	===============	0/0	100.00	99.30	vfdb	NP_644954	(cap8P) capsular polysaccharide synthesis enzyme Cap8P [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
